text,topic
Knead the dough for ten minutes until it becomes smooth and elastic.,cooking
Let the bread rise in a warm place until it doubles in size.,cooking
Preheat the oven to 450 degrees before baking the sourdough loaf.,cooking
A pinch of salt balances the sweetness in most dessert recipes.,cooking
Caramelize the onions slowly over low heat for a rich flavor.,cooking
Whisk the eggs and sugar together until the mixture turns pale.,cooking
Simmer the tomato sauce for an hour to deepen its flavor.,cooking
Fresh basil and garlic make a simple pasta taste incredible.,cooking
Rest the steak for five minutes so the juices redistribute.,cooking
Fold the flour gently into the batter to keep the cake light.,cooking
Toast the spices in a dry pan to release their aroma.,cooking
Brining the chicken overnight keeps the meat moist and tender.,cooking
A black hole's gravity is so strong that not even light escapes.,space
The James Webb telescope captures infrared light from distant galaxies.,space
"Mars has the largest volcano in the solar system, Olympus Mons.",space
Neutron stars are the dense remnants of collapsed massive stars.,space
The Milky Way contains hundreds of billions of stars.,space
A light year measures the distance light travels in one year.,space
Saturn's rings are made mostly of ice and rocky debris.,space
Astronauts experience weightlessness because they are in free fall.,space
The Sun fuses hydrogen into helium deep in its core.,space
Exoplanets are planets that orbit stars beyond our solar system.,space
A supernova briefly outshines an entire galaxy when a star explodes.,space
The cosmic microwave background is the afterglow of the Big Bang.,space
Diversifying a portfolio reduces the risk of any single investment.,finance
Compound interest lets your savings grow exponentially over time.,finance
Index funds track a market benchmark with low management fees.,finance
Inflation erodes the purchasing power of cash over the years.,finance
A bond pays periodic interest and returns the principal at maturity.,finance
Dollar cost averaging smooths out the impact of market volatility.,finance
Central banks raise interest rates to cool down an overheated economy.,finance
An emergency fund should cover several months of living expenses.,finance
Equities historically outperform bonds over long time horizons.,finance
Credit card debt carries some of the highest interest rates around.,finance
A balance sheet lists a company's assets and its liabilities.,finance
Rebalancing keeps your asset allocation aligned with your goals.,finance
The striker curled the free kick into the top corner of the net.,sports
A marathon runner paces carefully to avoid hitting the wall.,sports
The point guard threaded a no-look pass to the open shooter.,sports
Tennis players grunt as they unleash a powerful forehand winner.,sports
The pitcher threw a fastball right past the swinging batter.,sports
Cyclists draft behind one another to conserve energy in a peloton.,sports
The goalkeeper dove full stretch to tip the shot around the post.,sports
A boxer relies on footwork to stay out of range of punches.,sports
The sprinter exploded out of the blocks at the sound of the gun.,sports
Swimmers flip turn at the wall to keep their momentum going.,sports
The quarterback launched a deep pass into the end zone.,sports
Climbers chalk their hands for grip on the steep rock face.,sports
A hash map gives average constant time lookups by key.,programming
Recursion solves a problem by calling the function on smaller inputs.,programming
Unit tests catch regressions before they reach production.,programming
"Git lets developers branch, merge, and track changes over time.",programming
A memory leak happens when allocated memory is never released.,programming
Big O notation describes how an algorithm scales with input size.,programming
Compilers translate human-readable code into machine instructions.,programming
An API defines how two software systems talk to each other.,programming
Caching stores expensive results so they can be reused quickly.,programming
A race condition occurs when threads access shared state unsafely.,programming
Static types catch many errors at compile time instead of runtime.,programming
Indexes speed up database queries at the cost of slower writes.,programming
Water tomato plants deeply at the base to encourage strong roots.,gardening
Compost enriches the soil with nutrients as it breaks down.,gardening
Prune the rose bushes in early spring to promote new growth.,gardening
Mulch helps the soil retain moisture during the hot summer months.,gardening
Pollinators like bees are essential for a productive vegetable garden.,gardening
Rotate your crops each season to keep the soil healthy.,gardening
Seedlings need plenty of sunlight to grow sturdy and green.,gardening
Pull weeds early before they compete with your plants for nutrients.,gardening
A trellis supports climbing beans and cucumbers as they grow.,gardening
Test the soil pH before planting acid-loving blueberries.,gardening
Deadhead spent flowers to encourage the plant to bloom again.,gardening
Raised beds improve drainage and warm up earlier in the spring.,gardening
